,Associate ,Status,Official Contact number,Facebook group,Related Clubs/Societies,Contact no. of Club/Society,FB Group of related societies,Misc. Info,Personally known people(Yes/No),Singla,Deepankar,Chinmay,Tanishq,Tanay,Yash,Srininvas
,,,,,,,,,,,,,,,,
"Cluster Innovation Centre, University of Delhi",Dikshant,Talked to admin but pending,011 2766 6702,https://www.facebook.com/groups/cic.du.common/?fref=ts,DUCIC-Technology Business Incubator,,,,,,,,Admin personally contacted. Have to message post to her for review,,,
"Punjab Engineering College(PEC),Chandigarh",Dikshant,Talked to admin but pending,,"https://www.facebook.com/eicpec/
https://www.facebook.com/ecellgndec/?ref=br_rs
https://www.facebook.com/ecellpup/?ref=br_rs
https://www.facebook.com/eicpec/?ref=br_rs",ENTREPRENURSHIP  and Incubation Cell,,https://www.facebook.com/eicpec/,,Yes(tanay),,,,,1(no groups found),,sent message requesting them to publish our post
"GNDU ,AMRITSAR",Dikshant,Bakwaas College - No Group or page on which we could post,,,,,,,,,,,,,,
"THAPAR UNIVERSITY,PATIALA",Dikshant,Bakwaas College - No Group or page on which we could post,,,,,,,,,,,,,,
Delhi Technical University (They have a page also),Dikshant,Talked to admin but pending,011 2787 1018,"https://www.facebook.com/groups/dtuforum/ , https://www.facebook.com/group/nsits.dtu/ , https://www.facebook.com/ECellDTU/
https://wwws.facebook.com/groups/nit.dtu/
https://www.facebook.com/groups/dtu.ecell",E-Cell,"Vedant Khandelwal
9810322480",https://www.facebook.com/groups/dtu.ecell/,,,,,,,1,,J(E cell)
Greater Noida Institute of Technology,Dikshant,Talked to admin but pending,0120 232 0210,https://www.facebook.com/groups/gniot/?fref=ts,?,,,,,,,,,,,J
Indian Institute of Foreign Trade (This group is not legit),Dikshant,Page,"011 26965124, 011 26965051",https://www.facebook.com/iiftecell/,E-Cell,"Harshit Bairoliya	
9087777350",,,,,,,,,,
Amity,Dikshant,Talked to admin but pending,0120 471 3600,"https://www.facebook.com/groups/291893270953693/?ref=br_rs,",Enactus Amity Univ,,https://www.facebook.com/EnactusAmityUniversity/,,,,,,,,,
FIIB,Avyukt,Everything is done peacefully,011 4728 5000,https://www.facebook.com/groups/125419364183365/,"Cynergy, Brand Rovers, Udaan",,https://www.facebook.com/groups/cynergyclub/?ref=br_rs,,,,,,,1,,
