Title,URL,Total Members,Posts Today,Posts Last Month,DAU/MAU,Scaled Members,Scaled DAU/MAU,Metric
Aligarh Muslim University,https://www.facebook.com/groups/AMUtoday/about,91630,21,508,0.04133858267716536,1.0,0.18011811023622049,0.8360236220472441
Aligarh Muslim University,https://www.facebook.com/groups/AMUtoday/about,91629,21,508,0.04133858267716536,0.9999890865437084,0.18011811023622049,0.8360148912822108
"BITS Pilani, Pilani Campus",https://www.facebook.com/groups/BITSPilani.PilaniCampus/about,27847,0,2,0.0,0.3039070173523955,0.0,0.24312561388191642
"BITS Pilani, Pilani Campus",https://www.facebook.com/groups/BITSPilani.PilaniCampus/about,27847,0,2,0.0,0.3039070173523955,0.0,0.24312561388191642
"BITS Pilani, Pilani Campus",https://www.facebook.com/groups/BITSPilani.PilaniCampus/about,27847,0,2,0.0,0.3039070173523955,0.0,0.24312561388191642
R.I.T :- Roorkee Institute of Technology,https://www.facebook.com/groups/301907676583815/about,343,28,122,0.22950819672131148,0.0037433155080213902,1.0,0.20299465240641712
IIT Kanpur,https://www.facebook.com/groups/IITKanpurJEE/about,17302,0,7,0.0,0.18882462075739387,0.0,0.15105969660591512
NIT Jalandhar Information Portal,https://www.facebook.com/groups/280471088804179/about,4796,1,8,0.125,0.05234093637454982,0.5446428571428571,0.1508013205282113
HANSRAJ COLLEGE,https://www.facebook.com/groups/hansrajcollege/about,14804,4,168,0.023809523809523808,0.1615628069409582,0.10374149659863945,0.14999854487249445
HANSRAJ COLLEGE,https://www.facebook.com/groups/hansrajcollege/about,14804,4,168,0.023809523809523808,0.1615628069409582,0.10374149659863945,0.14999854487249445
"P.G.D.A.V College, University of Delhi",https://www.facebook.com/groups/pgdav.du/about,14678,2,149,0.013422818791946308,0.16018771144821564,0.05848513902205177,0.13984719696298287
"P.G.D.A.V College, University of Delhi",https://www.facebook.com/groups/pgdav.du/about,14678,2,149,0.013422818791946308,0.16018771144821564,0.05848513902205177,0.13984719696298287
AMITY  UNIVERSITY NOIDA,https://www.facebook.com/groups/291893270953693/about,12018,11,303,0.036303630363036306,0.13115791771253957,0.15818010372465818,0.1365623549149633
DELHI ONLINE BUSINESS,https://www.facebook.com/groups/kirorians/about,11853,15,485,0.030927835051546393,0.1293571974244243,0.13475699558173784,0.13043715705588704
DELHI ONLINE BUSINESS,https://www.facebook.com/groups/kirorians/about,11853,15,485,0.030927835051546393,0.1293571974244243,0.13475699558173784,0.13043715705588704
SRCC,https://www.facebook.com/groups/srcc.smilyo/about,7098,1,41,0.024390243902439025,0.0774637127578304,0.10627177700348432,0.08322532560696119
SRCC,https://www.facebook.com/groups/srcc.smilyo/about,7098,1,41,0.024390243902439025,0.0774637127578304,0.10627177700348432,0.08322532560696119
SRCC,https://www.facebook.com/groups/srcc.smilyo/about,7098,1,41,0.024390243902439025,0.0774637127578304,0.10627177700348432,0.08322532560696119
SRCC,https://www.facebook.com/groups/srcc.smilyo/about,7098,1,41,0.024390243902439025,0.0774637127578304,0.10627177700348432,0.08322532560696119
IIT Mandi Noticeboard,https://www.facebook.com/groups/iitmandi.nb/about,2955,2,32,0.0625,0.032249263341700314,0.27232142857142855,0.08026369638764597
IIT Mandi Noticeboard,https://www.facebook.com/groups/iitmandi.nb/about,2955,2,32,0.0625,0.032249263341700314,0.27232142857142855,0.08026369638764597
St. Stephen's College,https://www.facebook.com/groups/Globalstephanians/about,5588,1,32,0.03125,0.060984393757503,0.13616071428571427,0.07601965786314527
St. Stephen's College,https://www.facebook.com/groups/Globalstephanians/about,5588,1,32,0.03125,0.060984393757503,0.13616071428571427,0.07601965786314527
School of Planning and Architecture,https://www.facebook.com/groups/schoolofplanningandarchitecture/about,3817,1,21,0.047619047619047616,0.04165666266506603,0.2074829931972789,0.0748219287715086
JSS Academy of Technical Education [OFFICIAL],https://www.facebook.com/groups/jssate.noida/about,7117,0,2,0.0,0.07767106842737095,0.0,0.062136854741896765
JSS Academy of Technical Education [OFFICIAL],https://www.facebook.com/groups/jssate.noida/about,7117,0,2,0.0,0.07767106842737095,0.0,0.062136854741896765
"Northern India Engineering College, Lucknow",https://www.facebook.com/groups/niec07/about,1919,17,373,0.045576407506702415,0.020942922623594894,0.19858291842206052,0.056470921783288025
